,Adresse,dep,Nom,commune,code_postal,geometry,Emplacements,Surface,permanence_24h,distance_police,distance_hopitaux,defib_moins_2km,langues_accueil,internet_partout,Classement,label
0,Route du Château d'eau,78,CAMPING HUTTOPIA RAMBOUILLET,RAMBOUILLET,78120,POINT (1.835694 48.630059),180,18000.0,1,2817,6807,0,3,0,3,1
1,11 CHEMIN DU CAMPING,77,CAMPING LES PRÉS DE LA FONTAINE,HERMÉ,77114,POINT (3.338549 48.472784),440,44000.0,1,4953,10485,1,3,0,3,3
2,26 Route de Vauvert,91,CARAVANING LE VAUVERT,ORMOY-LA-RIVIÈRE,91150,POINT (2.143939 48.411278),230,28750.0,1,5177,691,1,3,1,4,3
3,chemin des ponceaux,77,CAMPING LES ACACIAS,BETON-BAZOCHES,77320,POINT (3.239464 48.707003),140,14000.0,0,16466,23260,0,1,0,2,2
4,24 Place de la gare de Faremoutiers,77,LE CHÊNE GRIS,POMMEUSE,77515,POINT (2.99998 48.800512),316,39500.0,1,8711,12013,1,3,1,4,3
5,Le Clos Gouget,78,CARAVANIG CLUB  DU CLOS GOUGET,BOINVILLIERS,78200,POINT (1.661974 48.931593),100,10000.0,0,9188,10804,0,1,0,2,2
6,49 Rue des Bondons,77,CARAVANING DES BONDONS,LA FERTÉ-SOUS-JOUARRE,77260,POINT (3.150584 48.948976),247,30875.0,1,2139,23095,0,3,1,4,1
7,4 rue de l'ancienne église,77,BLP CARAVANING,PRÉCY-SUR-MARNE,77410,POINT (2.776459 48.930786),44,4400.0,0,15316,19206,0,1,0,1,2
8,ROUTE DE LA PETITE BEAUCE,91,HÉLIOMONDE,SAINT-CHÉRON,91530,POINT (2.12983 48.53845),138,13799.999999999998,1,2703,30123,1,3,0,3,3
9,rue de montereau,77,CAMPING LE REFUGE,GRANDPUITS-BAILLY-CARROIS,77720,POINT (2.970295 48.583675),84,8400.0,0,7179,38519,0,1,0,2,2
10,Chemin de Mennessard,91,CAMPING LE BOIS DE LA JUSTICE,MONNERVILLE,91930,POINT (2.043489 48.343212),150,15000.0,1,12079,12644,0,3,0,3,1
11,Chemin des Vaugibourgs,91,CAMPING LES HESPÉRIIDES,ÉTRÉCHY,91580,POINT (2.190345 48.50323),75,7500.0,0,1917,24435,1,1,0,2,0
12,31 rue berthelot,78,CAMPING HUTTOPIA VERSAILLES,VERSAILLES,78000,POINT (2.161639 48.795109),180,18000.0,1,1452,2144,0,3,0,3,1
13,12 route de Montigny,77,CAMPING LE PARC DU GUÉ,LA GENEVRAYE,77690,POINT (2.749246 48.33228),175,17500.0,1,12058,26610,1,3,0,3,3
14,route de montaiguillon,77,BUSINESS VILLAGE PARIS ILE DE FRANCE,LOUAN-VILLEGRUIS-FONTAINE,77560,POINT (3.482675 48.627),250,31250.0,1,8402,25410,0,4,1,5,1
