,insee,Nom,Surface,geometry,dep
3981,91556,Saint-Hilaire,681.0,"POLYGON ((2.0631954 48.44341819983009, 2.0704905 48.44691279982923, 2.071415 48.44872449982878, 2.072945499999999 48.44926489982866, 2.074301799999999 48.45091089982827, 2.073738399999999 48.45191009982801, 2.075436499999999 48.456024399827, 2.077637199999999 48.45807099982648, 2.0784327 48.45785489982654, 2.0769525 48.45634119982692, 2.0813115 48.45466209982732, 2.090638199999999 48.45189729982803, 2.0897567 48.44994509982848, 2.092938199999999 48.44893449982873, 2.0937325 48.4503041998284, 2.097373 48.44910819982869, 2.096965499999999 48.44833729982888, 2.101674299999999 48.44729329982915, 2.1034792 48.44827019982889, 2.106734399999999 48.44647119982935, 2.1056227 48.4442228998299, 2.109895299999999 48.44079469983074, 2.1064704 48.43744089983155, 2.110958599999999 48.43426329983235, 2.106332999999999 48.4324235998328, 2.1043275 48.43007829983336, 2.105903699999999 48.42787199983391, 2.0935508 48.42845839983378, 2.0889755 48.43043599983329, 2.084731699999999 48.43075749983321, 2.0801261 48.43023509983335, 2.0756161 48.43207909983289, 2.073245499999999 48.43405589983238, 2.0677563 48.435718899832, 2.066713899999999 48.4373256998316, 2.067659799999999 48.43867329983127, 2.067167599999999 48.43998499983095, 2.064051399999999 48.44048629983082, 2.0631954 48.44341819983009))",91
3997,91148,Chauffour-lès-Étréchy,481.0,"POLYGON ((2.1499985 48.50944459981384, 2.152866099999999 48.50948219981382, 2.153502099999999 48.51230269981313, 2.156329899999999 48.512840999813, 2.163138099999999 48.51317629981291, 2.168922499999999 48.51755589981183, 2.171141799999999 48.52141539981089, 2.175495999999999 48.52000999981125, 2.175361199999999 48.51897389981148, 2.178663599999999 48.51879899981153, 2.1824213 48.51799489981173, 2.181271699999999 48.51626459981217, 2.189654499999999 48.51242479981311, 2.190993199999999 48.51139509981334, 2.185866499999999 48.50814119981415, 2.185472499999999 48.50736479981436, 2.180586999999999 48.50799699981419, 2.1784735 48.50583549981473, 2.1761708 48.50532629981485, 2.178203499999999 48.50376949981523, 2.176566299999999 48.50258139981553, 2.178974 48.50087379981593, 2.177684799999999 48.49974299981623, 2.1810564 48.49850369981652, 2.179203799999999 48.49565809981722, 2.1767344 48.49670569981696, 2.174200799999999 48.49702339981688, 2.171135399999999 48.49629999981706, 2.167428699999999 48.4978508998167, 2.1616658 48.49795429981668, 2.158804999999999 48.49626959981707, 2.156142899999999 48.49705569981689, 2.152506799999999 48.4974371998168, 2.1525002 48.49920739981636, 2.151350499999999 48.5018786998157, 2.151334099999999 48.50535189981485, 2.1499985 48.50944459981384))",91
3998,77395,Rumont,660.0,"POLYGON ((2.473613399999999 48.27057719987241, 2.477580299999999 48.27101209987231, 2.483063499999999 48.27533269987126, 2.485108699999999 48.2759797998711, 2.485836199999999 48.27987039987016, 2.489063799999998 48.28268329986947, 2.495337 48.2825189998695, 2.500966999999999 48.28309529986936, 2.500464299999999 48.2849808998689, 2.503040099999999 48.28513019986887, 2.505557899999999 48.284569199869, 2.510745999999999 48.27929429987029, 2.516369699999999 48.27448329987146, 2.5195769 48.27097539987231, 2.511479599999999 48.26523609987372, 2.5060353 48.26222559987446, 2.5071088 48.26090839987476, 2.501329899999999 48.25931719987516, 2.499915199999999 48.26101059987474, 2.4947395 48.25930639987515, 2.4792952 48.25653079987585, 2.476709399999999 48.25620159987592, 2.4768118 48.25825429987542, 2.477031199999999 48.25943909987512, 2.4752668 48.26479349987384, 2.475419499999999 48.26570539987361, 2.473613399999999 48.27057719987241))",77
3999,77003,Amponville,1193.0,"POLYGON ((2.502611299999999 48.28748679986828, 2.507275299999999 48.28814899986814, 2.509339999999999 48.29232199986711, 2.508179699999999 48.29337379986686, 2.511682799999999 48.29569419986629, 2.513877299999999 48.29805539986572, 2.514384199999999 48.30007709986522, 2.517137499999999 48.30351519986438, 2.523242999999999 48.30543529986391, 2.521865699999999 48.3071544998635, 2.5205826 48.3108098998626, 2.520822699999999 48.31384759986186, 2.522629299999999 48.31392209986184, 2.527015899999999 48.31202399986229, 2.532157499999999 48.30855479986315, 2.536054799999999 48.30664009986362, 2.537514099999999 48.30495719986401, 2.539269799999999 48.30145999986487, 2.5410531 48.30022799986518, 2.5447608 48.30165799986483, 2.547901899999999 48.29950949986536, 2.5506068 48.29884659986551, 2.5563916 48.29682079986599, 2.556467999999999 48.2923272998671, 2.5514499 48.29406169986667, 2.549777099999999 48.29171419986724, 2.553998299999999 48.2813181998698, 2.544086299999999 48.27797089987061, 2.549235999999999 48.26851819987292, 2.539578399999999 48.26552589987364, 2.536987399999999 48.26874279987285, 2.5327283 48.26742269987318, 2.521796399999999 48.2698185998726, 2.5195769 48.27097539987231, 2.516369699999999 48.27448329987146, 2.510745999999999 48.27929429987029, 2.505557899999999 48.284569199869, 2.503040099999999 48.28513019986887, 2.502611299999999 48.28748679986828))",77
4000,77041,Boissy-aux-Cailles,1638.0,"POLYGON ((2.4561017 48.32177099985992, 2.4599394 48.32127679986004, 2.459867799999999 48.32439099985929, 2.4696836 48.32464619985922, 2.468424299999999 48.32662749985872, 2.4759516 48.32675299985871, 2.483154499999999 48.32775809985845, 2.489111299999999 48.32976849985797, 2.490707399999998 48.33038089985781, 2.493550499999999 48.33028889985784, 2.503558199999999 48.33123099985762, 2.514113699999999 48.33268589985726, 2.519841799999999 48.32668689985872, 2.5211307 48.32230299985979, 2.522084999999999 48.31975709986041, 2.521789 48.31619199986128, 2.522629299999999 48.31392209986184, 2.520822699999999 48.31384759986186, 2.5205826 48.3108098998626, 2.521865699999999 48.3071544998635, 2.523242999999999 48.30543529986391, 2.517137499999999 48.30351519986438, 2.514384199999999 48.30007709986522, 2.513877299999999 48.29805539986572, 2.511682799999999 48.29569419986629, 2.508179699999999 48.29337379986686, 2.509339999999999 48.29232199986711, 2.507275299999999 48.28814899986814, 2.502611299999999 48.28748679986828, 2.499830599999999 48.28726199986835, 2.498749799999999 48.292721399867, 2.495030299999999 48.29179349986724, 2.494479099999999 48.29394239986672, 2.492559799999999 48.29372619986678, 2.4921901 48.2948510998665, 2.489233599999999 48.2944677998666, 2.4888864 48.29556239986633, 2.486121799999999 48.29506559986643, 2.479422599999999 48.2948478998665, 2.4740744 48.29515899986642, 2.4715999 48.30153339986487, 2.4670344 48.30445919986414, 2.457576 48.31120599986249, 2.458649999999999 48.31381199986186, 2.4599912 48.31757109986094, 2.456175099999999 48.31774629986092, 2.4561017 48.32177099985992))",77
4001,77220,Guercheville,921.0,"POLYGON ((2.534385299999999 48.25088539987723, 2.538827899999999 48.25330709987662, 2.54251 48.25493509987622, 2.5347019 48.2611960998747, 2.538595299999999 48.26328369987419, 2.5415295 48.26314059987423, 2.539578399999999 48.26552589987364, 2.549235999999999 48.26851819987292, 2.544086299999999 48.27797089987061, 2.553998299999999 48.2813181998698, 2.556673099999999 48.27644769987098, 2.565272499999999 48.27894079987037, 2.567695399999999 48.27449759987147, 2.571564699999999 48.2706529998724, 2.572511699999999 48.27117639987227, 2.579373999999999 48.26574679987359, 2.576608899999999 48.25686219987575, 2.5759078 48.25548329987609, 2.5717781 48.24733939987805, 2.575017899999999 48.24773569987798, 2.572647199999999 48.24430029987881, 2.554993199999999 48.24544329987852, 2.555456099999999 48.24386409987891, 2.549742899999999 48.24423709987882, 2.547013199999999 48.24259979987923, 2.541456099999999 48.24588039987842, 2.534385299999999 48.25088539987723))",77
4002,77302,Montcourt-Fromonville,804.0,"POLYGON ((2.719291099999999 48.31354079986194, 2.718809499999999 48.31229159986223, 2.719520199999999 48.31061039986263, 2.7293376 48.30379869986431, 2.731148599999999 48.30084029986503, 2.734080099999999 48.30132519986491, 2.735432099999999 48.29942649986537, 2.734311599999999 48.2988780998655, 2.734096499999999 48.29652739986607, 2.738682599999999 48.29708579986595, 2.741970899999999 48.29531399986639, 2.738434599999999 48.29415859986665, 2.735317099999999 48.29311419986692, 2.730248599999999 48.29069369986751, 2.726363899999999 48.28951099986779, 2.724285699999999 48.28768629986826, 2.720011899999999 48.28238089986954, 2.718778899999999 48.28181099986968, 2.717524499999999 48.28286939986943, 2.713502399999999 48.28392039986917, 2.706231799999999 48.28726529986834, 2.701420199999999 48.28882449986796, 2.698471399999999 48.28888059986797, 2.6919393 48.28980999986771, 2.693059799999999 48.29130429986737, 2.694307699999999 48.2943726998666, 2.694010299999999 48.29902519986548, 2.692804299999999 48.30051079986511, 2.689722099999999 48.30142659986489, 2.689238699999999 48.30310819986448, 2.6932387 48.3042455998642, 2.690299499999999 48.30742629986344, 2.693148799999999 48.31020169986275, 2.6946626 48.31281929986211, 2.6974572 48.31497559986158, 2.7011476 48.31392169986184, 2.706391099999999 48.31074919986261, 2.707254199999999 48.31177369986237, 2.70948 48.31248499986219, 2.716190399999999 48.31268289986213, 2.719291099999999 48.31354079986194))",77
4003,77329,Nanteau-sur-Lunain,1314.0,"POLYGON ((2.775409199999999 48.24849329987778, 2.775747799999999 48.25065129987727, 2.777075099999999 48.2525181998768, 2.780573099999999 48.25495389987623, 2.781712899999999 48.25660119987582, 2.7818448 48.25830919987539, 2.783037799999998 48.25934669987517, 2.786849899999999 48.26119959987471, 2.794387899999999 48.26572379987359, 2.7969178 48.26631009987344, 2.797650399999999 48.26477919987383, 2.803738399999999 48.26697739987328, 2.803929599999999 48.26634599987345, 2.807587799999999 48.26716269987324, 2.810726399999999 48.26706189987328, 2.812659599999999 48.26858469987288, 2.815523199999999 48.26884939987283, 2.821365799999999 48.27075729987236, 2.826714999999999 48.27080899987236, 2.828746299999999 48.27141949987221, 2.837015699999999 48.27214869987203, 2.839524899999999 48.27164289987214, 2.841727699999999 48.26786129987308, 2.839689399999999 48.26685889987333, 2.843611199999999 48.264071799874, 2.845367499999999 48.26322769987421, 2.842706699999999 48.2590874998752, 2.841985099999999 48.25630919987589, 2.839335999999999 48.25397669987645, 2.837192299999999 48.25334579987661, 2.8371178 48.25187639987698, 2.834541099999999 48.24845209987781, 2.835068699999999 48.24781809987797, 2.832594799999999 48.24468069987871, 2.831952799999998 48.24241439987927, 2.833816299999999 48.24155189987948, 2.832456699999998 48.23845929988023, 2.8361048 48.23763489988043, 2.833122499999999 48.23510479988104, 2.829888299999999 48.23600329988082, 2.828837099999999 48.23379749988136, 2.825875299999999 48.23419909988127, 2.824120999999999 48.23613839988079, 2.815129599999999 48.23909479988008, 2.813744699999999 48.23911769988007, 2.809217399999999 48.24047089987973, 2.8037879 48.24221579987931, 2.799185599999999 48.24307219987912, 2.780310999999999 48.24577099987845, 2.7752341 48.24744549987803, 2.775409199999999 48.24849329987778))",77
4004,77473,Treuzy-Levelay,1409.0,"POLYGON ((2.752029499999999 48.27573869987116, 2.757113399999999 48.27677909987089, 2.7619343 48.27621519987105, 2.765864599999999 48.27624619987102, 2.776605999999999 48.27545569987122, 2.782838999999999 48.27585939987114, 2.790897899999999 48.27503529987131, 2.794891999999999 48.27544709987122, 2.797487499999999 48.27922119987033, 2.797192599999999 48.28339549986928, 2.804638499999999 48.28567049986873, 2.8038318 48.28699609986842, 2.8077578 48.28818909986812, 2.8054071 48.29178119986724, 2.809957299999999 48.29336209986686, 2.812822499999998 48.2931937998669, 2.818180899999999 48.29420309986665, 2.8177984 48.29254429986705, 2.824744199999999 48.29309189986693, 2.8259511 48.29380819986675, 2.827789999999999 48.28999329986768, 2.8295381 48.29030259986761, 2.830945199999999 48.28848149986805, 2.835312899999999 48.28898989986791, 2.8357964 48.28747699986828, 2.837604099999999 48.28759399986826, 2.839364399999999 48.28485899986893, 2.839207499999999 48.28263509986947, 2.839949499999999 48.27869759987041, 2.837331999999999 48.27859109987046, 2.837015699999999 48.27214869987203, 2.828746299999999 48.27141949987221, 2.826714999999999 48.27080899987236, 2.821365799999999 48.27075729987236, 2.815523199999999 48.26884939987283, 2.812659599999999 48.26858469987288, 2.810726399999999 48.26706189987328, 2.807587799999999 48.26716269987324, 2.803929599999999 48.26634599987345, 2.803738399999999 48.26697739987328, 2.797650399999999 48.26477919987383, 2.7969178 48.26631009987344, 2.794387899999999 48.26572379987359, 2.786849899999999 48.26119959987471, 2.783037799999998 48.25934669987517, 2.7818448 48.25830919987539, 2.781712899999999 48.25660119987582, 2.780573099999999 48.25495389987623, 2.777075099999999 48.2525181998768, 2.775747799999999 48.25065129987727, 2.775409199999999 48.24849329987778, 2.774221299999999 48.2501531998774, 2.7763391 48.25194179987695, 2.7753749 48.25379329987651, 2.773535899999999 48.25401509987645, 2.771196899999999 48.25310019987666, 2.7649911 48.25412779987641, 2.760080699999999 48.25633559987588, 2.759612399999999 48.25942569987512, 2.752155599999999 48.26427899987396, 2.750460199999999 48.26576449987358, 2.748930399999999 48.26848689987292, 2.7452795 48.27089439987233, 2.743382099999999 48.27374369987165, 2.747393099999999 48.27499119987134, 2.752029499999999 48.27573869987116))",77
4005,77340,Nonville,1163.0,"POLYGON ((2.738434599999999 48.29415859986665, 2.741970899999999 48.29531399986639, 2.744984399999999 48.29569449986629, 2.7481053 48.29709099986596, 2.760591799999999 48.30024919986517, 2.764626199999999 48.30149249986489, 2.7731585 48.30326669986444, 2.777322699999999 48.30360719986435, 2.779244299999999 48.30225369986469, 2.784496699999999 48.30179879986481, 2.788044499999998 48.30191349986477, 2.789113499999999 48.3014154998649, 2.794642999999999 48.30286589986454, 2.794303399999999 48.30167529986483, 2.795837699999999 48.29783619986577, 2.797774499999999 48.29748729986586, 2.802766199999999 48.29856599986559, 2.804201799999999 48.29607369986621, 2.8042267 48.29448769986659, 2.8054071 48.29178119986724, 2.8077578 48.28818909986812, 2.8038318 48.28699609986842, 2.804638499999999 48.28567049986873, 2.797192599999999 48.28339549986928, 2.797487499999999 48.27922119987033, 2.794891999999999 48.27544709987122, 2.790897899999999 48.27503529987131, 2.782838999999999 48.27585939987114, 2.776605999999999 48.27545569987122, 2.765864599999999 48.27624619987102, 2.7619343 48.27621519987105, 2.757113399999999 48.27677909987089, 2.752029499999999 48.27573869987116, 2.7482687 48.28074859986994, 2.744053699999999 48.28568029986874, 2.738434599999999 48.29415859986665))",77
