,Nom,police-FR,geometry,numero_hab,rue,code_postal,ville,Adresse
3,Commissariat de police de Pantin,police,POINT (2.405585100000035 48.89317529971883),14,Rue Eugène et Marie-Louise Cornet,93500,Pantin,
64,,police_municipale,POINT (2.215440500000041 48.75419149975327),,,,,
67,Commissariat de police de Guyancourt,police,POINT (2.050297025082522 48.78546318382877),1,Rue de la Division Leclerc,78280,Guyancourt,
68,Commissariat de police de Villeparisis,police,POINT (2.608194600000037 48.94469439970605),,,,,
70,Commissariat de police de Massy,police,POINT (2.272461152906796 48.73051434490702),,Rue de la Division Leclerc,91300,Massy,
74,,,POINT (2.436890931626158 48.94758862839402),,,,,
99,Brigade territoriale autonome de gendarmerie de Bobigny,,POINT (2.443056941593134 48.90088118583735),,,,,
104,,police,POINT (2.37408320000004 48.83401809973348),,,,,
111,,,POINT (2.419461803735491 48.84361902156682),,,,,
117,,police_municipale,POINT (2.084783999999964 48.89959379971726),111bis,Rue Léon Desoyer,78100,Saint-Germain-en-Laye,
122,Commissariat de police de Meudon,police,POINT (2.240089838156067 48.81070911812031),94,Rue de Paris,92190,Meudon,
132,Gendarmerie - Brigade de Limours,gendarmerie,POINT (2.089939337148476 48.64469419135173),,Rue de Marcoussis,91470,Limours,
134,,police_municipale,POINT (2.656949699999991 48.72463269976061),,,,,
154,,police,POINT (2.196347299999988 48.95634379970316),,Rue des Frères Lumière,95240,Cormeilles-en-Parisis,
160,Commissariat de Police de Vitry-sur-Seine,police,POINT (2.390130900000011 48.78751189974505),20,Avenue Youri Gagarine,94400,Vitry-sur-Seine,
163,Commissariat de police du 20e arrondissement,police,POINT (2.396888936569251 48.86551461903356),3-7,Rue des Gâtines,75020,Paris,
169,Commissariat de police de Palaiseau,police,POINT (2.2513507 48.71326179976347),,,,,
190,,police_municipale,POINT (2.06861740000004 48.89413769971855),,,,,
197,,police_municipale,POINT (2.574425800000036 48.7905054997443),,,,,
203,Direction régionale de la police judiciaire de Paris,,POINT (2.30822327248272 48.89365374875236),,,,,
211,,,POINT (2.450618919980039 48.91023686960168),,Rue de Carency,93000,Bobigny,
228,Brigade de gendarmerie de Gif-sur-Yvette,gendarmerie,POINT (2.137355417214204 48.69923510484934),16,Rue Raoul Dautry,91190,Gif-sur-Yvette,
235,,police_municipale,POINT (2.469639076188102 48.60676383277487),39,Boulevard Georges Michel,91100,Corbeil-Essonnes,
245,,police_municipale,POINT (2.199540599999987 48.97611879969825),3,Avenue Maurice Berteaux,95240,Cormeilles-en-Parisis,
250,,police_municipale,POINT (2.688842103749421 48.94517153597588),,,,,
260,Brigade de gendarmerie de Lizy-sur-Ourcq,gendarmerie,POINT (3.016689997175154 49.02977110957175),,,,,
262,Commissariat subdivisionnaire de police d'Osny,police,POINT (2.062678413914506 49.05997721781208),,,,,
278,Police intercommunale,police_municipale,POINT (2.235713466428364 48.98447377367452),,,,,
300,,police_municipale,POINT (2.525043799999977 48.69697369976751),,,,,
320,Commissariat de police de Paris 18ème arrondissement,police,POINT (2.348045199999998 48.88963729971972),,,,,
331,,police_municipale,POINT (2.374963533505895 48.6751625553096),,,,,
344,,police_municipale,POINT (3.302571700000037 48.56054219980123),,,,,
356,Brigade de gendarmerie de Nozay,gendarmerie,POINT (2.245004676219295 48.65479145692975),1,Rue Louis Renard,91620,Nozay,
357,,,POINT (2.376598091176015 48.88806980001846),,,,,
368,,police,POINT (2.367986972268994 48.78344344883533),,,,,
383,,police_municipale,POINT (2.411364871912169 48.96798462648519),,,,,
402,Brigade de gendarmerie d'Égly,gendarmerie,POINT (2.222962355040817 48.58286472059436),9,Allée des Joncs,91520,Égly,
417,,police,POINT (2.317907199999977 48.87774069972264),1-3,Rue de Lisbonne,75008,Paris,
422,,police_municipale,POINT (2.417667400000021 48.61182939978856),8,Mail de l'Île-de-France,91090,Lisses,
436,Commissariat Central de Police du 10e,police,POINT (2.366190900984753 48.88084144167174),,,,,
439,Département de l'investigation judiciaire de la Brigade des réseaux ferrés,,POINT (2.364811999999974 48.89336219971874),,,,,
450,,police,POINT (2.457594040002569 48.77678008784633),,,,,
463,Brigade de gendarmerie de Louvres,gendarmerie,POINT (2.513778500000008 49.04592749968095),,,,,
