,Adresse_full,dep,Emplacements,Nom,Classement,commune,code_postal,geometry,Surface,type
0,Route du Château d'eau,78,180,CAMPING HUTTOPIA RAMBOUILLET,3,RAMBOUILLET,78120,POINT (1.835694 48.630059),1.8,camping
1,11 CHEMIN DU CAMPING,77,440,CAMPING LES PRÉS DE LA FONTAINE,3,HERMÉ,77114,POINT (3.338549 48.472784),4.4,camping
2,26 Route de Vauvert,91,230,CARAVANING LE VAUVERT,4,ORMOY-LA-RIVIÈRE,91150,POINT (2.143939 48.411278),2.875,camping
3,chemin des ponceaux,77,140,CAMPING LES ACACIAS,2,BETON-BAZOCHES,77320,POINT (3.239464 48.707003),1.4,camping
4,24 Place de la gare de Faremoutiers,77,316,LE CHÊNE GRIS,4,POMMEUSE,77515,POINT (2.99998 48.800512),3.95,camping
5,Le Clos Gouget,78,100,CARAVANIG CLUB  DU CLOS GOUGET,2,BOINVILLIERS,78200,POINT (1.661974 48.931593),1.0,camping
6,49 Rue des Bondons,77,247,CARAVANING DES BONDONS,4,LA FERTÉ-SOUS-JOUARRE,77260,POINT (3.150584 48.948976),3.0875,camping
7,4 rue de l'ancienne église,77,44,BLP CARAVANING,1,PRÉCY-SUR-MARNE,77410,POINT (2.776459 48.930786),0.44,camping
8,ROUTE DE LA PETITE BEAUCE,91,138,HÉLIOMONDE,3,SAINT-CHÉRON,91530,POINT (2.12983 48.53845),1.38,camping
9,rue de montereau,77,84,CAMPING LE REFUGE,2,GRANDPUITS-BAILLY-CARROIS,77720,POINT (2.970295 48.583675),0.84,camping
10,Chemin de Mennessard,91,150,CAMPING LE BOIS DE LA JUSTICE,3,MONNERVILLE,91930,POINT (2.043489 48.343212),1.5,camping
11,Chemin des Vaugibourgs,91,75,CAMPING LES HESPÉRIIDES,2,ÉTRÉCHY,91580,POINT (2.190345 48.50323),0.75,camping
12,31 rue berthelot,78,180,CAMPING HUTTOPIA VERSAILLES,3,VERSAILLES,78000,POINT (2.161639 48.795109),1.8,camping
13,12 route de Montigny,77,175,CAMPING LE PARC DU GUÉ,3,LA GENEVRAYE,77690,POINT (2.749246 48.33228),1.75,camping
14,route de montaiguillon,77,250,BUSINESS VILLAGE PARIS ILE DE FRANCE,5,LOUAN-VILLEGRUIS-FONTAINE,77560,POINT (3.482675 48.627),3.125,camping
15,rue Adèle Claret Montjay la Tour,77,363,CAMPING LE PARC DE PARIS,3,VILLEVAUDÉ,77410,POINT (2.668575 48.912163),3.63,camping
16,ferme de la mercy,77,6,CAMPING DE LA FERME LA MERCY,1,CHENOISE,77160,POINT (3.158753 48.609089),0.06,camping
17,PARC DE COMBREUX,77,189,DOMAINE FREDLAND,3,TOURNAN-EN-BRIE,77220,POINT (2.765095 48.73482),1.89,camping
18,5906 route de saint martin des champs,77,182,CAMPING LE BOIS D'ÉMERAUDE,2,LA FERTÉ-GAUCHER,77320,POINT (3.303012 48.789997),1.82,camping
19,1 rue Johnson,78,336,CAMPING SANDAYA INTERNATIONAL DE MAISON LAFFITTE,4,MAISONS-LAFFITTE,78600,POINT (2.147452 48.940258),4.2,camping
20,Impasse de la Varenne,91,59,LE CATTIAUX CAMPING,2,COURDIMANCHE-SUR-ESSONNE,91720,POINT (2.378583 48.426104),0.59,camping
21,RUE DES PâTURES,77,260,CAMPING LA PEUPLERAIE,1,BRAY-SUR-SEINE,77480,POINT (3.242416 48.414648),2.6,camping
22,Château du Breuil  Route de Boissy,78,150,CAMPING HAMEAU DU SAUT DU LOUP,3,GARANCIÈRES,78890,POINT (1.780325 48.82357),1.5,camping
23,12 route de chantilly,95,117,CAMPING LE PARC DES GRANDS CLOS,2,ASNIÈRES-SUR-OISE,95270,POINT (2.372254 49.136885),1.17,camping
24,10 chemin des belles Vues,95,135,PARC DE SÉJOUR DE L'ÉTANG,4,NESLES-LA-VALLÉE,95690,POINT (2.183365 49.128255),1.6875,camping
25,Route de Septeuil,78,230,CAMPING CANADA,3,ÉPÔNE,78680,POINT (1.790657 48.930737),2.3,camping
26,130 route de morsang,91,31,CARAVANING LES SABLONS,1,SAINTRY-SUR-SEINE,91250,POINT (2.488802 48.586854),0.31,camping
27,6 ALLEE DES MARRONNIERS,77,110,ILE DE BOULANCOURT,3,BOULANCOURT,77760,POINT (2.434922 48.256631),1.1,camping
28,31 rue de la Mairie,77,99,CAMPING LES GROUETTES,2,VILLEMER,77250,POINT (2.829508 48.298535),0.99,camping
29,Route de Serbonne,77,166,LE SOLEIL DE CRÉCY,3,CRÉCY-LA-CHAPELLE,77580,POINT (2.927886 48.852318),1.66,camping
30,2 Rue des Otages,77,255,LE VILLAGE PARISIEN,4,VARREDDES,77910,POINT (2.933602 49.000902),3.1875,camping
31,CHEMIN DE HALAGE,77,180,CAMPING LA BELLE ÉTOILE,3,MELUN,77000,POINT (2.649101 48.545337),1.8,camping
32,route départementale 144 a Lieu-Dit Vizy,77,25,CAMPING MONDINE CARAVANING,1,FONTENAY-TRÉSIGNY,77610,POINT (2.85529 48.691125),0.25,camping
33,27 RUE DE LA PIERRE LONGUE,77,20,CARAVANING LA PIERRE LONGUE,2,BOULANCOURT,77760,POINT (2.428258 48.260648),0.2,camping
34,ferme de Malassise Départementale 402,77,15,CAMPING FERME DE MALASSISE,1,FONTENAY-TRÉSIGNY,77610,POINT (2.889038 48.685633),0.15,camping
35,COURCELLES LA ROUE,77,89,CARAVANING DU CHOISEL,4,SAINT-CYR-SUR-MORIN,77750,POINT (3.157579 48.90538),1.1125,camping
36,rue de la barauderie,77,140,CAMP DE LOISIRS LA BARAUDE,2,DARVAULT,77140,POINT (2.730284 48.268853),1.4,camping
37,chemin du port,77,169,CAMPING DE L'ILE DEMOISELLE,2,ANNET-SUR-MARNE,77410,POINT (2.72119 48.922775),1.69,camping
38,29 ter rue des petits clozeaux hameau de grand bréau,77,100,CAMPING LA VALLÉE DES TAMARIS,3,COURPALAY,77540,POINT (2.942622 48.651633),1.0,camping
39,131 boulevard des Alliés,94,373,CAMPING PARIS EST,4,CHAMPIGNY-SUR-MARNE,94500,POINT (2.479225 48.828034),4.6625,camping
40,chemin de Bellerive,95,30,CAMPING GCU AUVERS-SUR-OISE,2,AUVERS-SUR-OISE,95430,POINT (2.168358 49.064558),0.3,camping
41,chemin de médan rive gauche,78,135,CAMPING  ILE DU ROI,2,TRIEL-SUR-SEINE,78510,POINT (1.997881 48.967232),1.35,camping
42,1 chemin de l'île,78,129,CAMPING LOISIRS DES GROUX,2,MOUSSEAUX-SUR-SEINE,78270,POINT (1.65175 49.04386),1.29,camping
43,Route des Princes,95,70,CAMPING LES PRINCES,2,ASNIÈRES-SUR-OISE,95270,POINT (2.359441 49.127214),0.7,camping
44,CHEMIN DE MEDAN,78,97,CAMPING LES 4 ARPENTS,1,TRIEL-SUR-SEINE,78510,POINT (1.997881 48.967232),0.97,camping
45,8 chemin des Perons,78,40,CAMPING LES CHESNETS,1,VERNEUIL-SUR-SEINE,78480,POINT (1.960946 48.969955),0.4,camping
46,Base de Loisirs de Jablines Annet,77,154,CAMPING INTERNATIONAL DE JABLINES,3,JABLINES,77450,POINT (2.739204 48.914757),1.54,camping
47,CHEMIN DU PASSEUR,77,83,LES COURTILLES DU LIDO,3,VENEUX-LES-SABLONS,77250,POINT (2.799896 48.381672),0.83,camping
48,4 RUE DES MAUROIS,95,170,CAMPING DES MAUROIS,2,GRISY-LES-PLÂTRES,95810,POINT (2.057454 49.132302),1.7,camping
49,42 rue du Criquet,78,192,CAMPING LE CRIQUET,1,FRENEUSE,78840,POINT (1.612012 49.057919),1.92,camping
50,2 Allée du Bord de L'eau,75,410,CAMPING INDIGO PARIS,4,PARIS,75016,POINT (2.234657 48.868221),5.125,camping
51,1 chemin rural des prés,77,133,CAMPING LES PRÉS,2,GREZ-SUR-LOING,77880,POINT (2.692876 48.313797),1.33,camping
52,route de la couture,77,224,CAMPING DES ÉTANGS FLEURIS,3,TOUQUIN,77131,POINT (3.052236 48.732149),2.24,camping
53,ferme des bruyères,91,16,CAMPING RURAL DES BRUYÈRES,1,LE VAL-SAINT-GERMAIN,91530,POINT (2.097555 48.577569),0.16,camping
54,Les étangs des Carreaux,77,76,CARAVANING LES ÉTANGS DES CARREAUX,1,ROZAY-EN-BRIE,77540,POINT (2.955666 48.689498),0.76,camping
55,Chemin des Processions,77,100,LE MARCASSIN,1,MONTEREAU-FAULT-YONNE,77130,POINT (2.96358 48.382568),1.0,camping
56,1 VOIE DES PRES,91,124,CAMPING LE BEAU VILLAGE DE PARIS,3,VILLIERS-SUR-ORGE,91700,POINT (2.303507 48.655043),1.24,camping
57,Rue des mariniers,77,175,CAMPING MUNICIPAL LES BORDS DU LOING,1,SOUPPES-SUR-LOING,77460,POINT (2.730621 48.180505),1.75,camping
58,22 rue de beauregard,77,199,CAMPING CARAVANING DES 4 VENTS,3,CRÈVECOEUR-EN-BRIE,77610,POINT (2.895865 48.751508),1.99,camping
