,numero_hab,rue,code_postal,insee,commune,geometry,type
599,2,Avenue Sadi Carnot,91160,91044,Ballainvilliers,POINT (2.2778 48.671444),defibrillateurs
612,1,1 Rue de la Desserte Industrielle,91220,91103,Brétigny-sur-Orge,POINT (2.300313 48.590395),defibrillateurs
613,280,RN 6 Lieu-dit La Fontaine Ronde,77240,77495,Vert-Saint-Denis,POINT (2.61643 48.577774),defibrillateurs
615,9,Rue Jean Monnet,77410,77118,Claye-Souilly,POINT (2.66227 48.952792),defibrillateurs
616,3 a,6-8 Route de Cannes,77130,77482,Varennes-sur-Seine,POINT (2.958686 48.3739),defibrillateurs
617,61,61-65 Avenue de la Victoire,77100,77284,Meaux,POINT (2.91306 48.957236),defibrillateurs
628,15,Rue Pierre et Marie Curie,77380,77122,Combs-la-Ville,POINT (2.562246 48.652352),defibrillateurs
641,5,ZAC du Bois Bourdon,91150,91223,Étampes,POINT (2.143857 48.441344),defibrillateurs
647,188,184-192 Avenue de Stalingrad,95100,95018,Argenteuil,POINT (2.275315 48.954597),defibrillateurs
654,1,1 Voie de l'Orchidée Sauvage,93420,93078,Villepinte,POINT (2.541253 48.961286),defibrillateurs
659,2,2 Allée Denis Papin,77170,77053,Brie-Comte-Robert,POINT (2.604096 48.700815),defibrillateurs
669,1,Avenue Théodore Monod,95150,95607,Taverny,POINT (2.205449 49.028175),defibrillateurs
687,1,77 Rue de la Louvière,78120,78517,Rambouillet,POINT (1.847242 48.645666),defibrillateurs
697,7,7 Route de Dampierre,78280,78297,Guyancourt,POINT (2.066838 48.767447),defibrillateurs
703,1,1 Rue des Frères Lumière,78310,78168,Coignières,POINT (1.933738 48.754719),defibrillateurs
719,11,1 2BIS AVENUE AMPERE,78180,78423,Montigny-le-Bretonneux,POINT (2.046616 48.798277),defibrillateurs
721,1,20 Rue de Sarcelles,95410,95288,Groslay,POINT (2.365116 48.984401),defibrillateurs
723,6,95 Rue Léonard de Vinci,95190,95280,Goussainville,POINT (2.467715 49.02064),defibrillateurs
724,16,Boulevard du Havre,95220,95306,Herblay-sur-Seine,POINT (2.169082 49.006686),defibrillateurs
727,4,4 Avenue Lucie Aubrac,78340,78165,Les Clayes-sous-Bois,POINT (1.968237 48.825531),defibrillateurs
728,35,24-26 Rue du Grand Morin,77120,77131,Coulommiers,POINT (3.095844 48.802625),defibrillateurs
732,14,ZAC des Tissonvilliers III,95400,95680,Villiers-le-Bel,POINT (2.392332 48.99905),defibrillateurs
735,22,22 Avenue Stalingrad,94260,94034,Fresnes,POINT (2.335332 48.763861),defibrillateurs
736,2,69 Route de Montlhéry,91400,91471,Orsay,POINT (2.188193 48.685454),defibrillateurs
739,65,65 Rue d'Emerainville,77183,77146,Croissy-Beaubourg,POINT (2.642784 48.824258),defibrillateurs
747,15 bis,RN1 Lieu-dit La Cavée,95570,95409,Moisselles,POINT (2.335064 49.046336),defibrillateurs
749,110,5001 Avenue Pierre Guérin,77170,77450,Servon,POINT (2.581291 48.71217),defibrillateurs
752,4,4 rue de la Mare Blanche,77186,77337,Noisiel,POINT (2.621597 48.850251),defibrillateurs
755,4,"4, Rue des Erables",95610,95218,Éragny,POINT (2.100773 49.026852),defibrillateurs
756,1,Rue de la Croix Blanche,77310,77378,Pringy,POINT (2.5683722379286 48.519672134435),defibrillateurs
768,1,1 Rue Charles Lindbergh,91200,91027,Athis-Mons,POINT (2.403406 48.719769),defibrillateurs
770,2,2 rue Louise de Vilmorin,91630,91041,Avrainville,POINT (2.2304459 48.5691542),defibrillateurs
2672,4,rue du zephir,91140,91666,Villejust,POINT (2.23652 48.6832),defibrillateurs
2673,29,quai de l'Industrie,91200,91027,Athis-Mons,POINT (2.393217 48.69726),defibrillateurs
2674,18,rue de la Mairie,91850,91095,Bouray-sur-Juine,POINT (2.299388 48.520819),defibrillateurs
2675,5,Place des Droits de l'Homme,91800,91097,Boussy-Saint-Antoine,POINT (2.5288675164803 48.689761557962),defibrillateurs
2676,45,avenue de Soulins,91800,91114,Brunoy,POINT (2.494222 48.70084),defibrillateurs
2677,45,avenue de Soulins,91800,91114,Brunoy,POINT (2.494222 48.70084),defibrillateurs
2678,29,RUE DU DOCTEUR COLLE,91440,91122,Bures-sur-Yvette,POINT (2.1573 48.69946),defibrillateurs
2679,4,Impasse de la noisette,91370,91645,Verrières-le-Buisson,POINT (2.278595 48.75053),defibrillateurs
2680,165,RUE FRANCOIS MITTERAND,91160,91345,Longjumeau,POINT (2.28869 48.68983),defibrillateurs
2681,3,cour des associations,91800,91097,Boussy-Saint-Antoine,POINT (2.528017 48.689724),defibrillateurs
2682,5,rue du Ponceau,91630,91156,Cheptainville,POINT (2.264743 48.551646),defibrillateurs
2683,4,rue du Moulin,91490,91180,Courances,POINT (2.474521 48.440371),defibrillateurs
2684,1,place des Tilleuls,91680,91186,Courson-Monteloup,POINT (2.145142 48.592905),defibrillateurs
2685,35,rue Colbert,91560,91191,Crosne,POINT (2.458019 48.716438),defibrillateurs
2686,19 ter,rue Gutenberg,91070,91086,Bondoufle,POINT (2.38001 48.6201999),defibrillateurs
2687,10,Boulevard des Lavandières,91580,91226,Étréchy,POINT (2.18709 48.491169),defibrillateurs
2688,8,Place Charles de Gaulle,91580,91226,Étréchy,POINT (2.190735 48.493281),defibrillateurs
2689,10,Ruelle des Célestins,91460,91363,Marcoussis,POINT (2.221244 48.641124),defibrillateurs
2690,10,Avenue Foch,91580,91226,Étréchy,POINT (2.176889 48.489761),defibrillateurs
2691,1,Chemin du Grand Parc,91460,91363,Marcoussis,POINT (2.231417 48.645227),defibrillateurs
2692,3,Rue Finot,91460,91363,Marcoussis,POINT (2.229976 48.64034),defibrillateurs
2693,8,Chemin du Moulin,91620,91458,Nozay,POINT (2.237268 48.64596),defibrillateurs
2694,16,Rue de la Butte Saint-Martin,91580,91226,Étréchy,POINT (2.188337 48.485696),defibrillateurs
2695,2,rue de la prairie,91160,91587,Saulx-les-Chartreux,POINT (2.26835 48.69911),defibrillateurs
2696,7,Rue des Vieux Gagnons,91460,91363,Marcoussis,POINT (2.242271 48.637727),defibrillateurs
2697,15,RUE MARIE POUSSEPIN,91410,91200,Dourdan,POINT (2.02371 48.52235),defibrillateurs
2698,8,CHEMIN DE LA CROIX DU MESNIL,91310,91347,Longpont-sur-Orge,POINT (2.27683 48.65038),defibrillateurs
2699,9 bis,AVENUE DU 08 MAI 1945,91150,91223,Étampes,POINT (2.1619799 48.43472),defibrillateurs
2700,19,AVENUE DU 08 MAI 1945,91150,91223,Étampes,POINT (2.15677 48.43992),defibrillateurs
2701,2,place de la mairie,91640,91243,Fontenay-lès-Briis,POINT (2.156028 48.619183),defibrillateurs
2702,68,rue Saint Nicolas,91940,91275,Gometz-le-Châtel,POINT (2.1388 48.67846),defibrillateurs
2703,21,route de Corbeil,91350,91286,Grigny,POINT (2.385535 48.656045),defibrillateurs
2704,4,rue nungesser et coli,91380,91161,Chilly-Mazarin,POINT (2.30699 48.71686),defibrillateurs
2705,33,Grande rue,91510,91318,Janville-sur-Juine,POINT (2.259806 48.513502),defibrillateurs
2706,1 b,allée des Tilleuls,91290,91457,La Norville,POINT (2.259233 48.586518),defibrillateurs
2707,130,rue de Paris,91570,91064,Bièvres,POINT (2.230347 48.768627),defibrillateurs
2708,4,avenue du Canada,91940,91692,Les Ulis,POINT (2.19237 48.68518),defibrillateurs
2709,3,rue du Morvan,91940,91692,Les Ulis,POINT (2.169676 48.681275),defibrillateurs
2710,28,rue du Chant du Coq,91310,91333,Leuville-sur-Orge,POINT (2.263831 48.616112),defibrillateurs
2711,81,rue René Decle,91310,91333,Leuville-sur-Orge,POINT (2.261685 48.617209),defibrillateurs
2712,11,place des Combattants et Victimes de guerre,91310,91347,Longpont-sur-Orge,POINT (2.292843 48.642563),defibrillateurs
2713,12,boulevard Maurice Ouin,91820,91099,Boutigny-sur-Essonne,POINT (2.38071 48.437248),defibrillateurs
2714,24,Rue du Général de Gressot,91320,91689,Wissous,POINT (2.3284476722913 48.735129531054),defibrillateurs
2715,30,avenue Ampere,91320,91689,Wissous,POINT (2.32565 48.74977),defibrillateurs
2716,8,rue du général de Gressot,91320,91689,Wissous,POINT (2.32226 48.73227),defibrillateurs
2717,15,RUE DES PEUPLIERS,91320,91689,Wissous,POINT (2.32662 48.73536),defibrillateurs
