,Nom,police-FR,osm_original_geom,geometry,numero_hab,rue,code_postal,ville,Adresse_full,type
3,Commissariat de police de Pantin,police,,POINT (2.405585100000035 48.89317529971883),14,Rue Eugène et Marie-Louise Cornet,93500,Pantin,,police
64,,police_municipale,,POINT (2.215440500000041 48.75419149975327),,,,,,police
67,Commissariat de police de Guyancourt,police,"SRID=3857;POLYGON((228220.151236704 6238526.89083992,228221.687445677 6238522.70082359,228222.97875177 6238520.53823534,228221.821029066 6238519.44004619,228231.349977478 6238506.70106257,228237.394625828 6238511.17828938,228234.34447178 6238515.30071918,228242.092308339 6238521.21404411,228238.563480481 6238526.02918317,228239.621015644 6238526.70499238,228240.188745047 6238527.70181106,228240.478175723 6238529.03653457,228240.188745047 6238531.199125,228239.687807338 6238532.28042041,228259.669655936 6238547.18203698,228260.526816015 6238548.70261157,228260.58247576 6238550.64556839,228260.493420168 6238550.96657869,228251.621256751 6238563.28324622,228225.149481841 6238543.34681117,228226.2515448 6238541.79244701,228224.06968278 6238540.06913057,228223.023279567 6238538.6330338,228220.975000936 6238534.7809166,228220.663306362 6238533.17586829,228225.706079295 6238532.24662993,228225.305329128 6238529.27306787,228220.351611788 6238529.44202023,228220.151236704 6238526.89083992))",POINT (2.050297025082522 48.78546318382877),1,Rue de la Division Leclerc,78280,Guyancourt,,police
68,Commissariat de police de Villeparisis,police,,POINT (2.608194600000037 48.94469439970605),,,,,,police
70,Commissariat de police de Massy,police,"SRID=3857;POLYGON((252944.644287904 6229275.46366518,252944.889190784 6229262.09723885,252944.944850529 6229260.49394418,252945.022774173 6229259.43070683,252945.078433918 6229258.60374453,252945.3010729 6229257.50675386,252945.523711882 6229256.49414721,252945.835406456 6229255.56592455,252946.135969081 6229254.68833232,252946.39200391 6229254.08076852,252946.648038739 6229253.45632799,252946.937469415 6229252.81501074,252947.293691785 6229252.27495414,252947.761233646 6229251.5661299,252948.262171355 6229250.8235522,252948.763109064 6229250.16535838,252949.442157957 6229249.25401319,252950.043283208 6229248.62957301,252950.755727949 6229247.93762584,252951.323457352 6229247.43132308,252952.091561838 6229246.87439007,252952.759478783 6229246.40184087,252953.538715219 6229245.87866144,252954.651910127 6229245.28797502,252955.854160627 6229244.7141654,252956.533209521 6229244.44413736,252957.702064174 6229244.08972556,252958.637147897 6229243.85345104,252959.427516282 6229243.71843703,252960.741086273 6229243.51591602,252962.154843806 6229243.34714851,252963.869163964 6229243.12775076,252965.338581243 6229242.94210651,252967.420255721 6229242.68895528,252969.101180032 6229242.48643429,252971.271910102 6229242.19952957,252972.707931533 6229242.03076209,252975.123564483 6229241.76073413,252977.850892008 6229241.40632245,252980.622747329 6229241.06878752,252983.450262395 6229240.71437587,252986.088534327 6229240.39371772,252987.268520929 6229240.24182702,252988.760202106 6229240.03930609,252990.207355486 6229239.81990843,252989.461514898 6229276.37501319,252970.93795163 6229275.98684643,252971.17172256 6229262.63729607,252967.54270716 6229262.43477461,252967.409123771 6229263.78491778,252962.789364904 6229263.68365703,252962.811628802 6229262.38414424,252959.171481453 6229262.23225315,252958.826391031 6229275.66618695,252944.644287904 6229275.46366518))",POINT (2.272461152906796 48.73051434490702),,Rue de la Division Leclerc,91300,Massy,,police
74,,,"SRID=3857;POLYGON((271261.5095254 6265971.13689935,271279.64347045 6265960.15325813,271285.20944499 6265969.61139277,271279.877241381 6265972.32340465,271278.051601732 6265974.45911462,271277.238969449 6265977.28977867,271277.383684787 6265979.27293907,271278.808574269 6265982.79855872,271271.817710247 6265987.06998449,271261.5095254 6265971.13689935))",POINT (2.436890931626158 48.94758862839402),,,,,,police
99,Brigade territoriale autonome de gendarmerie de Bobigny,,"SRID=3857;POLYGON((271819.498473001 6258022.94769995,271820.912230534 6258022.30420193,271937.708640275 6257969.31738806,272050.876034615 6258101.01453333,272057.733315248 6258108.90592792,272066.349443835 6258118.86332044,272071.258633379 6258124.51939556,272083.22547864 6258138.3039777,272099.489256245 6258156.55926968,272101.025465217 6258160.47112308,272100.780562338 6258164.28137164,272098.57643642 6258167.82067073,272094.646858395 6258170.1237561,272091.418593162 6258170.47937963,272088.190327929 6258169.8697393,271819.498473001 6258022.94769995))",POINT (2.443056941593134 48.90088118583735),,,,,,police
104,,police,,POINT (2.37408320000004 48.83401809973348),,,,,,police
108,,,"SRID=3857;POLYGON((263847.742758059 6245457.64672287,263852.32912108 6245449.81783549,263861.401659579 6245434.36299049,263867.501967675 6245423.47359803,263877.921472013 6245404.18046966,263922.660775363 6245431.31937006,263955.500025147 6245451.27201272,263963.793327211 6245456.006545,263960.219971556 6245462.43198588,263952.07138483 6245477.10906388,263947.908035875 6245484.61670346,263941.507165154 6245496.1149031,263935.918926716 6245506.17584059,263932.991224108 6245511.45149662,263917.072536925 6245501.13691579,263906.497185299 6245494.42399041,263893.617520215 6245486.27379598,263864.941619386 6245468.53615924,263848.833689069 6245458.35690307,263847.742758059 6245457.64672287))",POINT (2.370707010868993 48.82640730778176),71,Rue Albert,75013,Paris,,police
112,,,"SRID=3857;POLYGON((269322.067960952 6248361.58069241,269329.303727854 6248360.6503758,269338.988523553 6248359.41559208,269342.350372175 6248382.09842845,269322.913989082 6248368.07599671,269322.067960952 6248361.58069241))",POINT (2.419461803735491 48.84361902156682),,,,,,police
118,,police_municipale,,POINT (2.084783999999964 48.89959379971726),111bis,Rue Léon Desoyer,78100,Saint-Germain-en-Laye,,police
122,Commissariat de police de Meudon,police,"SRID=3857;POLYGON((249342.412357528 6242787.60394202,249359.666878601 6242782.02571455,249361.114031982 6242786.7587558,249365.232853141 6242785.40645803,249368.015840411 6242794.36543478,249379.036469999 6242790.81565041,249382.487374214 6242801.46500799,249388.275987735 6242799.60559538,249388.94390468 6242799.26752041,249389.723141116 6242799.43655789,249390.502377551 6242799.94367037,249390.836336023 6242800.45078288,249394.287240238 6242811.10015257,249391.058975005 6242812.28341669,249379.259108981 6242816.17128569,249372.357300552 6242818.36877766,249367.236603975 6242820.05915648,249354.546182025 6242824.45414299,249342.412357528 6242787.60394202))",POINT (2.240089838156067 48.81070911812031),94,Rue de Paris,92190,Meudon,,police
132,Gendarmerie - Brigade de Limours,gendarmerie,"SRID=3857;POLYGON((232626.933654839 6214766.04603504,232648.251337326 6214763.5525312,232650.399803498 6214781.93371521,232663.869461884 6214780.35000027,232663.535503412 6214777.48583569,232677.327988321 6214775.86842554,232680.255690929 6214800.95516564,232666.285094835 6214802.58942865,232666.173775344 6214801.59539235,232631.564545656 6214805.65577865,232626.933654839 6214766.04603504))",POINT (2.089939337148476 48.64469419135173),,Rue de Marcoussis,91470,Limours,,police
134,,police_municipale,,POINT (2.656949699999991 48.72463269976061),,,,,,police
154,,police,,POINT (2.196347299999988 48.95634379970316),,Rue des Frères Lumière,95240,Cormeilles-en-Parisis,,police
160,Commissariat de Police de Vitry-sur-Seine,police,,POINT (2.390130900000011 48.78751189974505),20,Avenue Youri Gagarine,94400,Vitry-sur-Seine,,police
